Country,cause,val
Japan,Cardiovascular diseases,372482.6331
Comoros,Enteric infections,289.7950108
Djibouti,Nutritional deficiencies,206.4084925
United States Virgin Islands,Chronic respiratory diseases,30.50756043
United States Virgin Islands,Skin and subcutaneous diseases,9.208414572
Lesotho,Neoplasms,2216.169032
Guyana,Unintentional injuries,262.0148128
Kuwait,Neglected tropical diseases and malaria,0.274902955
Liberia,Neoplasms,2052.905072
Thailand,Skin and subcutaneous diseases,3424.993565
Thailand,HIV/AIDS and sexually transmitted infections,17266.26838
Thailand,Respiratory infections and tuberculosis,38838.03745
Thailand,Enteric infections,7098.85543
Thailand,Other infectious diseases,3486.672548
Thailand,Maternal and neonatal disorders,1973.245328
Republic of Korea,Nutritional deficiencies,317.8321289
Republic of Korea,Digestive diseases,17385.28393
Montenegro,Musculoskeletal disorders,3.944930907
Bermuda,Musculoskeletal disorders,2.191829332
Bermuda,Other non-communicable diseases,11.5777705
Greece,Nutritional deficiencies,9.645662859
Greece,Digestive diseases,4074.884181
Guyana,Other non-communicable diseases,164.3619722
Guyana,Skin and subcutaneous diseases,10.67956865
Guyana,Transport injuries,176.7273729
Honduras,HIV/AIDS and sexually transmitted infections,121.3034633
Honduras,Respiratory infections and tuberculosis,1690.816502
Honduras,Enteric infections,1185.419566
Honduras,Other infectious diseases,491.9429277
Guinea-Bissau,Neglected tropical diseases and malaria,672.3075266
Montenegro,Chronic respiratory diseases,84.9790984
Montenegro,Digestive diseases,152.7248359
Liberia,Cardiovascular diseases,4299.4368
Brunei Darussalam,Neoplasms,527.9905255
Brunei Darussalam,Neurological disorders,50.5908852
Brunei Darussalam,Mental disorders,0.124961004
Haiti,Nutritional deficiencies,952.8594518
Haiti,Digestive diseases,4384.030747
Bangladesh,Neglected tropical diseases and malaria,811.181709
Argentina,Cardiovascular diseases,101724.5611
Bangladesh,Cardiovascular diseases,324764.4843
Bangladesh,Musculoskeletal disorders,2059.290504
Bangladesh,Other non-communicable diseases,16995.78935
Hungary,Unintentional injuries,3006.649777
Georgia,Transport injuries,748.2937356
Georgia,Unintentional injuries,902.2787166
American Samoa,Substance use disorders,0.876441545
American Samoa,Diabetes and kidney diseases,69.61171593
Thailand,Digestive diseases,32634.78615
Azerbaijan,Unintentional injuries,1538.890696
Kuwait,Nutritional deficiencies,0.814799407
Bermuda,Cardiovascular diseases,208.5758229
Bermuda,Chronic respiratory diseases,18.12961888
Botswana,Musculoskeletal disorders,27.72056932
Djibouti,Chronic respiratory diseases,145.6505624
Honduras,Neurological disorders,1814.032239
Honduras,Mental disorders,0.128428124
Djibouti,Neoplasms,749.5138266
Honduras,Digestive diseases,5661.734493
Honduras,Unintentional injuries,1768.315839
United States Virgin Islands,Transport injuries,17.2714592
United States Virgin Islands,Unintentional injuries,25.56006519
Chile,Self-harm and interpersonal violence,2812.195469
Iceland,Musculoskeletal disorders,6.10267983
Kuwait,Neurological disorders,531.7108693
Kuwait,Mental disorders,0.565631184
Timor-Leste,Musculoskeletal disorders,6.155406637
Timor-Leste,Other non-communicable diseases,219.8824536
Timor-Leste,HIV/AIDS and sexually transmitted infections,250.4394024
Honduras,Cardiovascular diseases,15015.13724
Tuvalu,Cardiovascular diseases,42.45974166
Tuvalu,Musculoskeletal disorders,0.108594976
Botswana,Nutritional deficiencies,185.3559297
Grenada,Other infectious diseases,2.603602026
Grenada,Maternal and neonatal disorders,11.35405901
Guyana,Nutritional deficiencies,49.38310621
Guinea-Bissau,Neurological disorders,178.3283464
Guinea-Bissau,Mental disorders,0.012492198
Tokelau,Musculoskeletal disorders,0.013172296
Tokelau,Other non-communicable diseases,0.142289945
Tokelau,Skin and subcutaneous diseases,0.032825055
Japan,Musculoskeletal disorders,3836.987183
Japan,Other non-communicable diseases,16156.79646
Bangladesh,Digestive diseases,41679.19606
Bangladesh,Neurological disorders,22613.54937
Chile,Chronic respiratory diseases,6389.122437
Chile,Skin and subcutaneous diseases,504.8364695
Iceland,Chronic respiratory diseases,110.810542
Djibouti,Digestive diseases,357.2460733
Kuwait,Cardiovascular diseases,4119.146665
Kuwait,Chronic respiratory diseases,229.5631745
Liberia,Neurological disorders,490.3983018
Liberia,Mental disorders,0.045145458
Thailand,Substance use disorders,1119.789709
Thailand,Diabetes and kidney diseases,47020.14439
Djibouti,Cardiovascular diseases,1240.248984
Republic of Korea,Neurological disorders,23622.92934
Republic of Korea,Mental disorders,0.859692799
Montenegro,HIV/AIDS and sexually transmitted infections,1.99270476
Montenegro,Respiratory infections and tuberculosis,73.53304724
Montenegro,Enteric infections,0.729269017
Uruguay,Neglected tropical diseases and malaria,4.172734921
Uruguay,Cardiovascular diseases,10003.39345
Honduras,Maternal and neonatal disorders,1872.344012
Mexico,Nutritional deficiencies,7558.395107
Bermuda,HIV/AIDS and sexually transmitted infections,6.276089847
Bermuda,Respiratory infections and tuberculosis,17.94327493
Bermuda,Enteric infections,0.468793727
Bermuda,Other infectious diseases,0.786739738
Bermuda,Maternal and neonatal disorders,1.262532061
Montenegro,Unintentional injuries,107.533227
Guyana,Other infectious diseases,25.70601592
Guyana,Maternal and neonatal disorders,216.2247985
Guyana,Substance use disorders,29.19234878
Guyana,Diabetes and kidney diseases,852.087454
Bermuda,Neglected tropical diseases and malaria,0.052707594
Iceland,HIV/AIDS and sexually transmitted infections,0.940138961
Iceland,Respiratory infections and tuberculosis,103.257007
Iceland,Enteric infections,4.979838769
Iceland,Other infectious diseases,4.431829933
Liberia,Other non-communicable diseases,908.4419599
Liberia,Skin and subcutaneous diseases,42.50241175
Brunei Darussalam,Self-harm and interpersonal violence,30.68656343
Haiti,Neurological disorders,1635.04005
Haiti,Mental disorders,0.0244045
Bangladesh,Chronic respiratory diseases,70892.80767
Bangladesh,Skin and subcutaneous diseases,1225.471501
Bangladesh,HIV/AIDS and sexually transmitted infections,2478.275915
Bangladesh,Respiratory infections and tuberculosis,66507.12121
Bangladesh,Enteric infections,41477.64951
Bangladesh,Other infectious diseases,11133.82194
Timor-Leste,Respiratory infections and tuberculosis,900.5331301
Timor-Leste,Enteric infections,265.7277571
Timor-Leste,Other infectious diseases,138.1317209
Timor-Leste,Maternal and neonatal disorders,586.1153093
Timor-Leste,Substance use disorders,8.715874451
Timor-Leste,Diabetes and kidney diseases,427.045424
Argentina,Musculoskeletal disorders,691.5855439
Argentina,Other non-communicable diseases,8945.255411
Poland,HIV/AIDS and sexually transmitted infections,140.4012372
Poland,Respiratory infections and tuberculosis,12472.81385
Djibouti,Transport injuries,273.0711065
Bermuda,Skin and subcutaneous diseases,2.609787725
Bermuda,Transport injuries,7.45993393
Djibouti,Mental disorders,0.014281889
Thailand,Neurological disorders,26838.7652
Kuwait,Digestive diseases,337.6555981
Bermuda,Neoplasms,179.4344962
Bermuda,Neurological disorders,42.45598193
Honduras,Self-harm and interpersonal violence,3565.45638
Japan,Neurological disorders,188356.3588
Japan,Mental disorders,50.71724508
Greece,Musculoskeletal disorders,136.5256302
Botswana,HIV/AIDS and sexually transmitted infections,5691.814079
Botswana,Respiratory infections and tuberculosis,2345.504662
Botswana,Enteric infections,534.2239928
Botswana,Other infectious diseases,243.6740797
Botswana,Maternal and neonatal disorders,900.3817042
Honduras,Chronic respiratory diseases,3536.333094
Honduras,Other non-communicable diseases,1212.478223
Chile,Cardiovascular diseases,30114.94733
Timor-Leste,Nutritional deficiencies,65.07453784
Haiti,Cardiovascular diseases,26468.3697
Haiti,Musculoskeletal disorders,173.6051518
Haiti,Other non-communicable diseases,5117.200495
Uruguay,Chronic respiratory diseases,2154.628796
Tuvalu,Other non-communicable diseases,1.311974469
Tuvalu,Skin and subcutaneous diseases,0.276819574
Tuvalu,HIV/AIDS and sexually transmitted infections,1.243962953
Tuvalu,Respiratory infections and tuberculosis,5.768625599
Tuvalu,Enteric infections,1.299459447
Guinea-Bissau,Self-harm and interpersonal violence,345.9459561
Botswana,Neoplasms,2075.742295
Botswana,Neurological disorders,274.3666765
Djibouti,Neurological disorders,100.3341128
Bangladesh,Self-harm and interpersonal violence,11511.60039
Iceland,Digestive diseases,62.34294838
Japan,Skin and subcutaneous diseases,1858.848023
Japan,Transport injuries,7479.770637
Japan,Other infectious diseases,2629.018737
Japan,Maternal and neonatal disorders,508.8033837
Tokelau,Other infectious diseases,0.078908367
Tokelau,Maternal and neonatal disorders,0.1122386
Tokelau,Substance use disorders,0.020204388
Tokelau,Diabetes and kidney diseases,1.754994479
Kuwait,Skin and subcutaneous diseases,7.441780631
Kuwait,Transport injuries,617.089923
Liberia,Self-harm and interpersonal violence,386.6649804
Djibouti,Musculoskeletal disorders,5.814215269
Djibouti,Other non-communicable diseases,236.5400021
Djibouti,Skin and subcutaneous diseases,9.651499079
Guyana,Neoplasms,780.3513948
Montenegro,Other infectious diseases,4.878359996
Poland,Nutritional deficiencies,124.7649148
Mexico,Neurological disorders,32942.85521
Greece,Self-harm and interpersonal violence,631.0025498
Chile,Transport injuries,2456.304098
Chile,Unintentional injuries,3006.507618
Iceland,Maternal and neonatal disorders,4.310229472
Ireland,Nutritional deficiencies,10.31641882
Viet Nam,Neoplasms,112563.9768
Timor-Leste,Neoplasms,824.395153
Japan,Self-harm and interpersonal violence,25503.82978
Republic of Korea,Self-harm and interpersonal violence,15325.89301
Bermuda,Nutritional deficiencies,0.466651179
Azerbaijan,HIV/AIDS and sexually transmitted infections,61.41950032
Azerbaijan,Respiratory infections and tuberculosis,3105.60271
Azerbaijan,Enteric infections,116.6791634
Haiti,Neoplasms,10516.99134
Cook Islands,Nutritional deficiencies,0.076943562
Liberia,Transport injuries,540.6147778
Liberia,Maternal and neonatal disorders,2952.811373
Liberia,Substance use disorders,38.59747801
Liberia,Diabetes and kidney diseases,1279.070508
Haiti,Skin and subcutaneous diseases,373.0901222
Haiti,Respiratory infections and tuberculosis,7637.163214
Haiti,Enteric infections,4106.078759
Haiti,Other infectious diseases,2323.935896
Romania,Nutritional deficiencies,75.2984208
Haiti,Self-harm and interpersonal violence,4542.24162
Bangladesh,Transport injuries,10409.59793
Bangladesh,Unintentional injuries,21175.4484
Lesotho,Cardiovascular diseases,4028.014843
Lesotho,Musculoskeletal disorders,28.53065775
Lesotho,Other non-communicable diseases,358.6711527
Thailand,Self-harm and interpersonal violence,11230.20284
Djibouti,Unintentional injuries,217.1478215
Bangladesh,Maternal and neonatal disorders,46772.89142
Bangladesh,Substance use disorders,620.6973333
Bangladesh,Diabetes and kidney diseases,45880.8109
Bermuda,Mental disorders,0.00103636
Bermuda,Self-harm and interpersonal violence,4.803367489
Ireland,Neurological disorders,2409.556266
Argentina,Skin and subcutaneous diseases,2380.279356
Argentina,Enteric infections,761.1745771
Argentina,Other infectious diseases,949.1710844
Argentina,Maternal and neonatal disorders,3649.552232
Argentina,Substance use disorders,906.6165007
Argentina,Diabetes and kidney diseases,26428.49177
Uruguay,Skin and subcutaneous diseases,207.9901678
Uruguay,Transport injuries,607.5004659
Georgia,Cardiovascular diseases,29709.44504
Bermuda,Substance use disorders,2.019404992
Bermuda,Diabetes and kidney diseases,43.7302538
Greece,Other non-communicable diseases,1151.529525
Greece,HIV/AIDS and sexually transmitted infections,24.15116724
Greece,Respiratory infections and tuberculosis,6099.703954
Greece,Enteric infections,44.86571736
Lebanon,Neglected tropical diseases and malaria,6.674101817
Chile,Musculoskeletal disorders,416.8968555
Chile,Other non-communicable diseases,3238.622494
Honduras,Skin and subcutaneous diseases,152.7828234
Honduras,Transport injuries,1259.774018
Honduras,Substance use disorders,493.0559881
Honduras,Diabetes and kidney diseases,4293.647692
Timor-Leste,Digestive diseases,431.4303449
Lesotho,Nutritional deficiencies,193.8425896
Guyana,Neurological disorders,147.1427455
Guyana,Mental disorders,0.00425829
Viet Nam,Neurological disorders,24920.4297
Viet Nam,Mental disorders,2.493246282
Tuvalu,Other infectious diseases,0.781574298
Tuvalu,Maternal and neonatal disorders,1.325981859
Tuvalu,Substance use disorders,0.256728107
Tuvalu,Diabetes and kidney diseases,15.72516595
Botswana,Mental disorders,0.05377424
Botswana,Self-harm and interpersonal violence,872.9603806
Djibouti,Self-harm and interpersonal violence,186.9769828
Liberia,Neglected tropical diseases and malaria,4755.03838
Iceland,Unintentional injuries,54.66988981
Japan,Substance use disorders,1159.250545
Japan,Diabetes and kidney diseases,54245.03259
Tuvalu,Neoplasms,13.65362646
Kuwait,Unintentional injuries,278.9539837
Kuwait,Diabetes and kidney diseases,686.9140171
Mali,Neglected tropical diseases and malaria,19189.28453
Haiti,Maternal and neonatal disorders,7416.181365
Haiti,Substance use disorders,424.780325
Haiti,Diabetes and kidney diseases,6628.154333
Timor-Leste,Mental disorders,0.015541777
Ireland,Mental disorders,0.269916534
Poland,Digestive diseases,18145.45352
United States Virgin Islands,Musculoskeletal disorders,3.541712048
Djibouti,HIV/AIDS and sexually transmitted infections,938.8972892
Djibouti,Respiratory infections and tuberculosis,1036.405213
Djibouti,Enteric infections,340.5036058
Djibouti,Other infectious diseases,287.2768047
Djibouti,Maternal and neonatal disorders,767.1214941
Djibouti,Substance use disorders,14.3652127
Djibouti,Diabetes and kidney diseases,343.6525978
Kazakhstan,Nutritional deficiencies,120.7924206
Kazakhstan,Digestive diseases,8896.379897
Mexico,Mental disorders,1.834559992
Cook Islands,Neoplasms,31.96858691
Cook Islands,Neurological disorders,6.516299175
Cook Islands,Mental disorders,6.36E-05
Uruguay,Diabetes and kidney diseases,1884.829501
Georgia,Nutritional deficiencies,9.613656873
Georgia,Digestive diseases,2138.780828
Mali,Neoplasms,9335.528762
Romania,Digestive diseases,14625.96675
Romania,Neurological disorders,11475.78514
Kuwait,Self-harm and interpersonal violence,177.4826744
Republic of Korea,Neglected tropical diseases and malaria,76.90442237
Viet Nam,Self-harm and interpersonal violence,9414.946776
Mexico,Neglected tropical diseases and malaria,290.8762434
Lesotho,Skin and subcutaneous diseases,40.78140612
Lesotho,Other infectious diseases,290.1247438
Lesotho,Maternal and neonatal disorders,1282.898514
Jamaica,Neoplasms,4338.001319
Georgia,Musculoskeletal disorders,22.94749469
Georgia,Other non-communicable diseases,267.4084111
Bhutan,Neoplasms,474.2658889
Bhutan,Neurological disorders,126.5202527
Greece,Other infectious diseases,133.8975708
Greece,Maternal and neonatal disorders,144.3405437
Greece,Substance use disorders,228.367393
Greece,Diabetes and kidney diseases,5971.554337
Iceland,Nutritional deficiencies,1.81204518
Lebanon,Chronic respiratory diseases,1185.206989
Bhutan,Nutritional deficiencies,6.856349315
Ireland,Self-harm and interpersonal violence,467.5073615
Guyana,Self-harm and interpersonal violence,429.7698324
Timor-Leste,Neurological disorders,144.3751717
Mexico,Cardiovascular diseases,167535.2928
Lesotho,HIV/AIDS and sexually transmitted infections,10865.53991
Lesotho,Respiratory infections and tuberculosis,4547.983767
Lesotho,Enteric infections,1450.0001
Chile,HIV/AIDS and sexually transmitted infections,502.548585
Chile,Respiratory infections and tuberculosis,5163.399249
Chile,Enteric infections,450.9740037
Chile,Other infectious diseases,341.7971321
Chile,Maternal and neonatal disorders,642.1836789
Chile,Substance use disorders,602.7243098
Chile,Diabetes and kidney diseases,8859.727766
Lesotho,Neurological disorders,249.6897474
Eritrea,Neglected tropical diseases and malaria,508.7197306
United States Virgin Islands,Neoplasms,329.9121515
Bhutan,Neglected tropical diseases and malaria,7.538698376
Bhutan,Cardiovascular diseases,1208.475182
Republic of Korea,Neoplasms,104176.1049
Bermuda,Digestive diseases,19.2525085
Bermuda,Unintentional injuries,10.09935615
Mali,Chronic respiratory diseases,4573.530304
North Macedonia,Musculoskeletal disorders,12.5284678
Japan,Neglected tropical diseases and malaria,15.49172897
Republic of Korea,Chronic respiratory diseases,15506.39098
Timor-Leste,Neglected tropical diseases and malaria,9.043347118
Timor-Leste,Cardiovascular diseases,2459.384202
Singapore,Neglected tropical diseases and malaria,5.49113499
Chile,Neoplasms,31648.23412
Mexico,Neoplasms,106421.2239
Poland,Neurological disorders,23946.36422
Poland,Mental disorders,4.405631722
Poland,Cardiovascular diseases,174736.3194
Jamaica,Mental disorders,0.015469332
Iceland,Cardiovascular diseases,723.7026645
United States Virgin Islands,Other non-communicable diseases,25.32724044
United States Virgin Islands,HIV/AIDS and sexually transmitted infections,8.638134761
United States Virgin Islands,Respiratory infections and tuberculosis,26.27052989
United States Virgin Islands,Enteric infections,1.249002904
Liberia,Chronic respiratory diseases,534.4396498
Tuvalu,Mental disorders,4.35E-05
Eritrea,Neoplasms,3673.782785
Mexico,Self-harm and interpersonal violence,38586.51734
Cook Islands,Self-harm and interpersonal violence,2.537821053
Georgia,Neurological disorders,2111.664976
Israel,Neglected tropical diseases and malaria,3.799224718
Eritrea,Nutritional deficiencies,1051.305436
Jamaica,Neglected tropical diseases and malaria,2.610692877
Cook Islands,Neglected tropical diseases and malaria,0.028748592
Mexico,Chronic respiratory diseases,38524.30795
Kazakhstan,Musculoskeletal disorders,77.64825081
Kazakhstan,Other non-communicable diseases,2515.016245
Japan,Chronic respiratory diseases,55793.66713
Lebanon,Digestive diseases,959.1031564
Lesotho,Substance use disorders,41.38521814
Lesotho,Diabetes and kidney diseases,1828.429738
Timor-Leste,Chronic respiratory diseases,515.6874123
Iceland,Neoplasms,653.6324013
Iceland,Neurological disorders,211.7532549
Chile,Mental disorders,0.062931272
Bhutan,Mental disorders,0.008605329
Bhutan,Digestive diseases,285.3329068
Bhutan,Unintentional injuries,223.3113257
Georgia,Skin and subcutaneous diseases,14.48341597
Georgia,HIV/AIDS and sexually transmitted infections,24.78004671
Georgia,Respiratory infections and tuberculosis,941.4954237
Georgia,Enteric infections,16.73519424
Georgia,Other infectious diseases,67.69495298
Georgia,Maternal and neonatal disorders,296.6898839
Republic of Korea,Transport injuries,7553.303777
Republic of Korea,Unintentional injuries,8980.216452
Haiti,Neglected tropical diseases and malaria,516.6078059
Kuwait,Musculoskeletal disorders,13.61156393
Kuwait,Other non-communicable diseases,379.6996099
Namibia,Nutritional deficiencies,188.672628
Namibia,Digestive diseases,729.1556841
Timor-Leste,Self-harm and interpersonal violence,99.99566532
Mexico,Musculoskeletal disorders,3311.768725
Mexico,Other non-communicable diseases,23398.368
Mexico,Skin and subcutaneous diseases,2632.873995
Uruguay,Neoplasms,10083.65729
Israel,Chronic respiratory diseases,2026.876146
Viet Nam,Neglected tropical diseases and malaria,343.4808749
Mali,Transport injuries,2933.559918
United States Virgin Islands,Neurological disorders,49.49285702
United States Virgin Islands,Mental disorders,0.000161091
Eritrea,Cardiovascular diseases,6660.322208
Eritrea,Chronic respiratory diseases,1116.511277
Lesotho,Mental disorders,0.032522808
Lesotho,Self-harm and interpersonal violence,1488.434686
Bhutan,Chronic respiratory diseases,570.962613
Bhutan,Skin and subcutaneous diseases,6.969219102
Singapore,Chronic respiratory diseases,749.9192694
Singapore,Skin and subcutaneous diseases,115.7729326
Poland,Self-harm and interpersonal violence,7198.807643
Lebanon,Cardiovascular diseases,16328.56243
Lebanon,Other non-communicable diseases,547.552762
Poland,Musculoskeletal disorders,617.0842451
Poland,Other non-communicable diseases,2797.106658
Poland,Skin and subcutaneous diseases,185.354706
Iceland,Other non-communicable diseases,29.57075498
Iceland,Skin and subcutaneous diseases,1.967647542
United States Virgin Islands,Other infectious diseases,3.28677924
United States Virgin Islands,Maternal and neonatal disorders,4.690255214
United States Virgin Islands,Substance use disorders,14.39026368
United States Virgin Islands,Diabetes and kidney diseases,132.0967869
Georgia,Self-harm and interpersonal violence,438.5681573
Kazakhstan,Self-harm and interpersonal violence,6034.463204
Eritrea,Mental disorders,0.051330063
Nicaragua,Neglected tropical diseases and malaria,32.38238315
South Sudan,Neglected tropical diseases and malaria,6202.40657
Guinea-Bissau,Cardiovascular diseases,2213.55759
Guinea-Bissau,Chronic respiratory diseases,385.64617
Romania,Self-harm and interpersonal violence,2563.91451
Eritrea,Digestive diseases,2491.358543
Cook Islands,Chronic respiratory diseases,7.499474257
Jamaica,Chronic respiratory diseases,641.6670952
Jamaica,Skin and subcutaneous diseases,181.8766326
Mexico,Digestive diseases,71123.86926
Mexico,Unintentional injuries,20876.93871
Iceland,Mental disorders,0.019538545
Israel,Transport injuries,629.6156286
Namibia,Neoplasms,1600.221209
Lebanon,Unintentional injuries,539.1823517
Canada,Nutritional deficiencies,353.6068471
Bhutan,Self-harm and interpersonal violence,48.50045119
Georgia,Substance use disorders,67.56977559
Georgia,Diabetes and kidney diseases,2080.148217
Haiti,Chronic respiratory diseases,3419.913818
Viet Nam,Cardiovascular diseases,240161.2155
Uruguay,Musculoskeletal disorders,57.54686492
Uruguay,Other non-communicable diseases,960.3487418
Saint Lucia,Nutritional deficiencies,5.933026252
South Sudan,Chronic respiratory diseases,1330.771087
Namibia,Neurological disorders,343.3313137
Uruguay,Neurological disorders,2033.458239
Uruguay,Mental disorders,0.0651474
Viet Nam,Nutritional deficiencies,953.5415516
Mali,Unintentional injuries,6019.888539
Mexico,Transport injuries,22234.24379
Mexico,Other infectious diseases,2305.023098
Mexico,Maternal and neonatal disorders,13402.356
Mexico,Substance use disorders,5113.606897
Mexico,Diabetes and kidney diseases,146642.1768
Romania,Neglected tropical diseases and malaria,9.021712717
Eritrea,Skin and subcutaneous diseases,54.82404421
Eritrea,Transport injuries,1195.292219
Singapore,Transport injuries,177.8216973
Singapore,Unintentional injuries,286.7263164
Lebanon,Skin and subcutaneous diseases,18.68035148
Lebanon,Transport injuries,455.4435593
Kuwait,HIV/AIDS and sexually transmitted infections,3.177912911
Kuwait,Respiratory infections and tuberculosis,694.8935149
Kuwait,Enteric infections,14.46294734
Kuwait,Other infectious diseases,23.81129824
Kuwait,Maternal and neonatal disorders,209.0435116
Kuwait,Substance use disorders,33.24667362
Greenland,Neglected tropical diseases and malaria,0.021662889
Canada,Digestive diseases,12871.9536
Canada,Neurological disorders,24265.20456
Lesotho,Neglected tropical diseases and malaria,8.000606972
Liberia,Digestive diseases,1523.6185
Poland,Enteric infections,269.463431
Poland,Other infectious diseases,360.4381152
Poland,Maternal and neonatal disorders,559.0362237
Poland,Substance use disorders,4591.395933
Poland,Diabetes and kidney diseases,12841.74686
Iceland,Transport injuries,16.78175459
Iceland,Substance use disorders,22.83964073
Iceland,Diabetes and kidney diseases,59.52547114
Nicaragua,Chronic respiratory diseases,1342.915834
Eritrea,Neurological disorders,480.7496096
Haiti,HIV/AIDS and sexually transmitted infections,6679.574732
Kazakhstan,HIV/AIDS and sexually transmitted infections,282.2355971
Kazakhstan,Respiratory infections and tuberculosis,4795.72375
Kazakhstan,Enteric infections,62.31785081
Kazakhstan,Other infectious diseases,474.2575855
Kazakhstan,Maternal and neonatal disorders,1647.687998
Kazakhstan,Substance use disorders,2450.414481
Kazakhstan,Diabetes and kidney diseases,4480.67729
Guinea-Bissau,Skin and subcutaneous diseases,17.01581825
Guinea-Bissau,Transport injuries,488.5418924
Eritrea,Musculoskeletal disorders,30.44504743
Timor-Leste,Skin and subcutaneous diseases,15.25375316
Timor-Leste,Transport injuries,168.8243759
Serbia,Neglected tropical diseases and malaria,3.048204483
Serbia,Cardiovascular diseases,63768.553
Japan,Digestive diseases,60801.06002
Japan,Unintentional injuries,38109.83166
South Sudan,Transport injuries,1051.245081
South Sudan,Unintentional injuries,1964.331362
Saint Lucia,Digestive diseases,57.6556195
Bhutan,Transport injuries,68.71386207
Bhutan,Substance use disorders,8.678899501
Bhutan,Diabetes and kidney diseases,301.8606434
Jamaica,Transport injuries,194.9389725
Jamaica,Unintentional injuries,326.8483826
Cook Islands,HIV/AIDS and sexually transmitted infections,1.878756662
Cook Islands,Respiratory infections and tuberculosis,10.00522865
Cook Islands,Enteric infections,0.697278844
Ireland,Cardiovascular diseases,10347.08085
Ireland,Musculoskeletal disorders,163.4227045
Ireland,Other non-communicable diseases,595.8624677
Lebanon,Musculoskeletal disorders,45.75487487
Cook Islands,Digestive diseases,4.528656647
Cook Islands,Unintentional injuries,1.794058366
Lesotho,Chronic respiratory diseases,1115.955217
Liberia,Unintentional injuries,764.9680847
Israel,Unintentional injuries,1063.63302
Iceland,Self-harm and interpersonal violence,39.55503734
Namibia,Mental disorders,0.037620048
Singapore,Cardiovascular diseases,6810.228154
India,Neglected tropical diseases and malaria,61873.63309
Viet Nam,Chronic respiratory diseases,36229.39966
North Macedonia,Other non-communicable diseases,71.21548931
North Macedonia,HIV/AIDS and sexually transmitted infections,3.583860592
North Macedonia,Respiratory infections and tuberculosis,218.7615887
North Macedonia,Enteric infections,7.581703567
Cook Islands,Cardiovascular diseases,58.37260118
Kazakhstan,Neoplasms,21072.57642
Kazakhstan,Neurological disorders,3587.718324
Jamaica,Nutritional deficiencies,64.53965633
Bhutan,Musculoskeletal disorders,11.59116744
Bhutan,Other non-communicable diseases,101.4610486
Haiti,Transport injuries,1480.979875
Kyrgyzstan,Nutritional deficiencies,8.782761408
Kyrgyzstan,Neoplasms,4150.289911
Timor-Leste,Unintentional injuries,219.9747319
Eritrea,Other non-communicable diseases,1171.719626
Eritrea,HIV/AIDS and sexually transmitted infections,1502.030769
Eritrea,Respiratory infections and tuberculosis,9141.686378
Eritrea,Enteric infections,4403.601179
Ireland,Skin and subcutaneous diseases,79.26899999
Ireland,Other infectious diseases,48.78377131
Ireland,Maternal and neonatal disorders,76.20723732
Uruguay,HIV/AIDS and sexually transmitted infections,180.9802069
Uruguay,Respiratory infections and tuberculosis,1651.672229
Uruguay,Enteric infections,165.6730866
Uruguay,Other infectious diseases,62.77451522
Uruguay,Maternal and neonatal disorders,158.3340092
Uruguay,Substance use disorders,126.6866841
Lebanon,HIV/AIDS and sexually transmitted infections,69.56489246
Lebanon,Respiratory infections and tuberculosis,951.7672225
Lebanon,Enteric infections,78.9774124
United States Virgin Islands,Nutritional deficiencies,4.093379177
Viet Nam,Digestive diseases,31306.11957
Viet Nam,Unintentional injuries,26436.53278
Lesotho,Digestive diseases,861.3644496
Lesotho,Transport injuries,957.5033755
Lesotho,Unintentional injuries,660.4099492
Saint Lucia,Unintentional injuries,36.391201
Namibia,Self-harm and interpersonal violence,699.2799124
Namibia,Neglected tropical diseases and malaria,210.7332119
Eritrea,Unintentional injuries,1494.939216
Romania,Chronic respiratory diseases,8106.340964
Nicaragua,Neoplasms,4429.202024
Lebanon,Substance use disorders,142.2388764
Lebanon,Diabetes and kidney diseases,2040.177656
Kyrgyzstan,Cardiovascular diseases,17482.2152
Greenland,Chronic respiratory diseases,32.00005164
Lebanon,Nutritional deficiencies,15.11509586
Lebanon,Neoplasms,7493.324476
Kazakhstan,Neglected tropical diseases and malaria,16.10717176
Kazakhstan,Cardiovascular diseases,65391.48373
Canada,Mental disorders,4.687556539
Canada,Self-harm and interpersonal violence,5270.288076
Ethiopia,Neglected tropical diseases and malaria,16260.05813
Eritrea,Self-harm and interpersonal violence,1328.309942
Ireland,Neoplasms,10383.7513
Mali,HIV/AIDS and sexually transmitted infections,6599.039586
Mali,Respiratory infections and tuberculosis,20873.1722
Nicaragua,Transport injuries,800.7827687
Romania,Neoplasms,52589.99918
Guinea-Bissau,Substance use disorders,18.28385316
Guinea-Bissau,Diabetes and kidney diseases,614.4848986
Serbia,Chronic respiratory diseases,3865.050405
Greenland,Nutritional deficiencies,0.78880083
Jamaica,Digestive diseases,535.7238422
Cook Islands,Musculoskeletal disorders,0.076739643
Cook Islands,Other non-communicable diseases,0.410057184
India,Cardiovascular diseases,2574409.774
Bhutan,HIV/AIDS and sexually transmitted infections,51.73963576
Bhutan,Respiratory infections and tuberculosis,269.5974862
Bhutan,Enteric infections,149.6310521
Bhutan,Other infectious diseases,69.4347931
Bhutan,Maternal and neonatal disorders,260.900539
Kyrgyzstan,Neurological disorders,1085.273549
Kyrgyzstan,Mental disorders,0.116894954
India,Chronic respiratory diseases,1168381.111
Mexico,HIV/AIDS and sexually transmitted infections,5181.75834
